Libelle,Count,geo_point.1,geo_point.2,
Av_de_la_Pte_de_St_Ouen,4670755,48.89838051,2.32909768,
Philippe_Auguste,805751,48.84978797,2.394916091,
Av_Flandre,11594102,48.88487191,2.369610044,
Reaumur,6669472,48.86571261,2.342738239,
Gentilly_vers_A6A_bretelle_1,910471,48.81572572,2.337735703,
Bd_Magenta,11857205,48.87011732,2.350114945,
Av_Simon_Bolivar,2837822,48.87632684,2.373867996,
Av_Ph_Auguste,2436779,48.85208192,2.390415732,
Bd_Garibaldi,2122539,48.84543111,2.303304619,
Fbg_St_Antoine,1788033,48.84869453,2.377363266,
AE_A3_bretelle_1,1898328,48.86737865,2.41397078,
Av_d'Ivry,2373883,48.82247213,2.36126728,
Bd_de_la_Chapelle,8081964,48.88365785,2.350374506,
Quai_Panhard_Levassor,1876717,48.827526,2.380449418,
Quai_Henri_IV,10931500,48.84703807,2.361431369,
Quai_Louis_Bleriot,2863021,48.83894718,2.266465512,
Bd_Voltaire,14263267,48.84956141,2.365694069,
Bd_Diderot,4628822,48.84573776,2.373369616,
Bd_Bourdon,5439685,48.84837003,2.366126585,
Daumesnil-Pte_Doree,1063288,48.83513851,2.40742255,
Bd_Sebastopol,13941233,48.85813673,2.347996126,
Av_de_Versailles,5362488,48.84015971,2.264140336,
Bd_Malesherbes,20460788,48.8701062,2.304149706,
Av_Parmentier,9846560,48.85846855,2.369744197,
Quai_du_Louvre,7205052,48.85874747,2.334241817,
Quai_d'Issy-Leblanc,1601811,48.84045962,2.271460485,
Bd_de_Courcelles,7898078,48.8784989,2.299680541,
Bd_Haussmann,6945641,48.87213492,2.307343783,
PE_Menilmontant,6940268,48.87060925,2.413244843,
Bd_de_Bercy,3811431,48.83894233,2.37717447,
Quai_St_Bernard,7901325,48.8445649,2.357912776,
Bd_Poniatowski,5190821,48.82973699,2.391249497,
Gentilly_bretelle_16,25124,48.81651823,2.343742897,
Bd_de_Charonne,2690612,48.84807807,2.392142705,
Pt_Mirabeau-Amiral_Cloue,457417,48.84726465,2.274103748,
Amiral_Cloue-Pt_Mirabeau,492897,48.84737603,2.273667611,
Bd_St_Germain,25784851,48.84936532,2.319380959,
Pl_25_Aout_1944,1286011,48.82252241,2.325528919,
Bd_des_Invalides,10060621,48.84680276,2.314347056,
Av_Pte_d'Ivry,384826,48.82002489,2.372384352,
VGP,7431100,48.83978804,2.267544424,
PE_Leon_Frapie,8290864,48.87408797,2.411378119,
Corentin_Cariou,1664133,48.89514402,2.3824839,
Lecourbe,4977999,48.83986149,2.293856427,
Bd_Port_Royal,5063171,48.83698499,2.337154422,
Bd_Menilmontant,1410241,48.85920875,2.385337526,
Pont_du_Garigliano,538968,48.83937782,2.268064173,
PI_Leon_Frapie,7356560,48.87399749,2.41116006,
